Transaction ID,Timestamp,Item ID,Supplier ID,Customer ID,Location,Temperature,Humidity,GPS Coordinates,Order Amount,Quantity Shipped,Order Status,Payment Status,Time to Delivery,Quantity Mismatch,Fraud Indicator,Transaction Hash,Smart Contract Status,Compliance Check
TX00001,2025-02-05 13:58:29.739685,9102,S4,C9,Chicago,12.248374494975575,67.45952273024602,"(36.4275, -116.2052)",2996,153,Pending,Overdue,6,12,0,0xc11a,Active,0
TX00002,2025-02-04 13:58:29.739685,9435,S8,C6,Chicago,18.96885380143398,41.87988290048752,"(38.3798, -106.2317)",1182,76,Delivered,Paid,4,9,1,0x7b36,Completed,0
TX00003,2025-02-03 13:58:29.739685,9860,S6,C2,Chicago,15.050121129120654,41.51462448428202,"(41.5735, -93.3818)",1939,63,Pending,Overdue,5,2,1,0x15ce,Triggered,0
TX00004,2025-02-02 13:58:29.739685,9270,S3,C2,NY,17.31040941779263,41.26608409934219,"(36.2805, -96.2122)",2439,74,Shipped,Paid,6,1,1,0x8be6,Triggered,1
TX00005,2025-02-01 13:58:29.739685,9106,S4,C3,Chicago,6.741710536181267,67.90596498430125,"(38.316, -87.2957)",2915,101,Shipped,Paid,1,10,0,0x8a2d,Active,1
TX00006,2025-01-31 13:58:29.739685,9071,S2,C1,LA,7.908521226359663,61.44541889580758,"(41.2176, -76.6833)",2237,189,Shipped,Overdue,2,14,0,0x6046,Active,1
TX00007,2025-01-30 13:58:29.739685,9700,S1,C9,Chicago,10.161627009844532,54.809696466755526,"(39.7431, -95.4339)",2052,72,Shipped,Paid,2,12,0,0xc3a7,Active,0
TX00008,2025-01-29 13:58:29.739685,9020,S8,C10,SF,7.823609833393288,67.02431632438125,"(35.7995, -101.8637)",2026,196,Shipped,Overdue,7,13,0,0xc392,Completed,1
TX00009,2025-01-28 13:58:29.739685,9614,S1,C4,SF,18.596975969773105,62.14417088992601,"(37.9103, -114.2233)",1324,169,Shipped,Paid,3,14,0,0x0426,Triggered,1
TX00010,2025-01-27 13:58:29.739685,9121,S1,C5,Chicago,8.253358204962076,40.29339362304252,"(36.0512, -75.6996)",2009,50,Shipped,Paid,4,9,0,0xf4c2,Triggered,1
TX00011,2025-01-26 13:58:29.739685,9466,S4,C7,Chicago,13.357755714957442,73.54198979848195,"(40.0535, -98.3097)",1778,175,Delivered,Paid,9,14,0,0x727e,Completed,1
TX00012,2025-01-25 13:58:29.739685,9214,S10,C1,LA,6.281808052242155,54.00737532765622,"(35.8083, -94.1949)",2789,182,Shipped,Paid,5,9,0,0xa1ea,Completed,1
TX00013,2025-01-24 13:58:29.739685,9330,S10,C3,LA,7.32442769785803,55.9824505291594,"(35.855, -111.3101)",1175,199,Pending,Paid,3,10,1,0x1cb0,Completed,0
TX00014,2025-01-23 13:58:29.739685,9458,S6,C3,NY,8.711227024568075,71.29159819840486,"(34.7501, -104.4366)",1616,51,Delivered,Overdue,7,5,1,0xcb93,Triggered,1
TX00015,2025-01-22 13:58:29.739685,9087,S9,C2,NY,19.743401022265797,47.48363262918411,"(38.3338, -112.8303)",2844,184,Delivered,Paid,5,7,0,0x7ca8,Completed,1
TX00016,2025-01-21 13:58:29.739685,9372,S1,C8,SF,16.95595635505868,40.4028742177823,"(35.6035, -102.3987)",2335,161,Shipped,Paid,7,3,0,0x82ae,Triggered,1
TX00017,2025-01-20 13:58:29.739685,9099,S7,C5,Chicago,15.103325881543537,76.3535337891962,"(37.9163, -85.6973)",1948,70,Shipped,Overdue,9,1,0,0x1dc4,Completed,0
