model,metric,mean,std
RandomForestRegressor,R2,0.34805134464154264,0.07956060805795091
RandomForestRegressor,MAE,0.11505794965267473,0.007882888850731103
RandomForestRegressor,RMSE,0.14043882411053288,0.0074445524067111085
XGBoostRegressor,R2,0.3675055634922142,0.07240274122482741
XGBoostRegressor,MAE,0.11261776434741619,0.007611122576412933
XGBoostRegressor,RMSE,0.1383518273627245,0.006904706933615986
LogisticRegression(q>=0.75),AUC,0.8101776183123806,0.031018539474290913
LogisticRegression(q>=0.75),F1,0.4726727926397768,0.03919817995836867
LogisticRegression(q>=0.75),Precision,0.6321849680820268,0.06453764982941948
LogisticRegression(q>=0.75),Recall,0.3802035152636448,0.040414522725247724
